screen_id,route,screen_name,user_role,task_state,purpose,primary_cta,secondary_cta,tertiary_actions,next_screen_success,next_screen_cancel,backend_side_effect,notes_for_figma
home_requester,/home,Requester Home,requester,mixed,Requester dashboard with feed and requests,"Nueva tarea / abrir detalles","Abrir solicitudes","Header shortcuts",task_detail_assigned_gate,home_requester,None,"actual: central hub; keep decision surfaces reachable"
home_helper,/home,Helper Home,helper,open/mixed,Helper dashboard with map and open tasks,"Ver solicitud","Contactar", "Filters / helpers panels",task_detail_open_or_assigned,home_helper,None,"actual: helper mode; do not frame assigned as accepted work"
home_notifications,overlay:/home,Home Notifications Panel,requester,assigned/open,messages and pending decisions,"Decidir ahora","Abrir chat","Dismiss panel",task_detail_assigned_gate,home_requester,None,"actual: bell must keep showing assigned tasks"
my_requests_drawer,overlay:/home,My Requests Drawer,requester,assigned/open/in_progress,Task list for requester with pending offer grouping,"Decidir ahora","Ver detalle","Open/collapse sections",task_detail_assigned_gate,home_requester,None,"actual: direct entry point for assigned"
task_detail_open,/task/:id,Task Detail,requester,open,Inspect task and see helper acceptance if any,"Confirmar y pagar (only assigned)","Rechazar helper (only assigned)","Ver perfil",task_payment_page,task_detail_open_or_home,reject_assigned_helper or navigate only,"actual: same screen holds generic detail and decision gate variants"
task_detail_assigned_gate,/task/:id,Task Detail - Decision Gate,requester,assigned,Pending offer decision surface,"Confirmar y pagar","Rechazar helper","Ver perfil",task_payment_page,home_requester,reject_assigned_helper,"recommended: design as dedicated gate frame"
task_detail_helper,/task/:id,Task Detail,helper,open,Read task and accept it,"Aceptar tarea","Contactar","Ver detalle",task_detail_open,home_helper,acceptTask + createOrGetTaskConversation,"actual: helper can accept from open detail"
task_payment,/task/:id/payment,Task Payment Page,requester,assigned,Confirm payment and start checkout,"Confirmar y pagar","Ver Premium","Volver al detalle",stripe_return_payment,task_detail_assigned_gate,startTaskCheckout / continueWithExternalPayment,"actual: payment-first screen; keep Premium secondary"
stripe_return_payment,/stripe/return?flow=payment,Stripe Return,requester,assigned->in_progress,Wait for backend promotion after checkout,"Volver al detalle","None","Pending status text",task_detail_open,task_detail_assigned_gate,query invalidation + poll getTaskById,"actual: must not claim confirmed too early"
chat_list,/chats,Chats List,requester/helper,in_progress/completed/closed,Inbox for private conversations,"Abrir chat","Volver","Conversation select",chat_detail,home,None,"actual: list only; no task decision actions"
chat_detail,/chat/:id,Chat Detail,requester/helper,in_progress/completed/closed,Private conversation screen,"Enviar mensaje","Volver a chats","Header profile",chat_detail,chats_list,sendMessage / message updates,"actual: chat is gated by task state"
task_complete,/complete/:id,Task Complete,requester,in_progress/completed,Close task and release funds,"Confirmar finalización","Volver al chat","Volver al detalle",task_review,task_detail_open,markTaskCompleted + releaseTaskPayment,"actual: requester-only close flow"
task_review,/task/:id/review,Task Review Page,requester,completed/closed,Publish rating after closing,"Publicar valoración","Ahora no","Volver al detalle",task_detail_open,task_detail_open,createTaskReview,"actual: review only after completed/closed"
profile_own,/profile,Own Profile,owner,mixed,View and edit own public profile,"Editar perfil","Atrás","Sections / tabs",settings_profile,home,navigate to settings,"actual: edit enters settings anchor"
profile_public,/profile/:id,Public Profile,requester/helper,mixed,View another user's public profile,"Contactar","Invitar a tarea","Favorito toggle",chat_detail or create task,back/previous,createOrGetDirectConversation / open create flow,"actual: profile is a side path, not the main critical path"
settings,/settings,Settings,owner,mixed,Manage profile, map, notifications, payments, appearance, and security,"Volver","Save on dirty exit","Section anchors",home,home,updateCurrentProfile / stripe onboarding / password reset / sign out,"actual: back saves dirty changes if needed"
task_feed,/home,Task Feed,requester/helper,mixed,Card-based task discovery and shortcuts,"Publicar tarea / Ver detalle","Ocultar / extra action","Status chips",task_detail_open_or_assigned,home,None,"actual: feed should not route assigned to chat first"
landing,/,Landing,guest,n/a,Public marketing and entry from first viewport,"Necesito ayuda","Quiero ayudar","Entrar; anchors; theme switch; legal links",auth_modal_login_or_register,landing,getCurrentUser,"actual: journey starts here; auth modal is in-page"
landing_mobile_nav,/,Landing Mobile Menu,guest,n/a,Anchor navigation on mobile,"Menu","Anchor links","Close on link click",landing_section,landing,None,"actual: menu toggles local state"
auth_modal_login,modal:/auth,Auth Modal Login,guest,n/a,Login from landing,"Entrar","Continuar con Google","Registrarse; Olvide mi contrasena; cerrar",auth_callback,landing,signInWithEmail / signInWithGoogle,"actual: modal closes on backdrop or ESC"
auth_modal_register,modal:/auth,Auth Modal Register,guest,n/a,Registration from landing,"Crear cuenta","Continuar con Google","Entrar; Reenviar email; legal links; cerrar",auth_callback_or_email_sent,landing,signUpWithEmail / signInWithGoogle / resendSignupConfirmation,"actual: register can end in email confirmation state"
cookie_banner,overlay:/,Cookie Consent Banner,guest,n/a,Consent capture,"Aceptar todo","Solo necesarias","Configurar; cookies policy link",landing,landing,writeConsent,"actual: portal overlay on landing and app"
cookie_preferences_modal,modal:/cookies,Cookie Preferences Modal,guest,n/a,Granular cookie settings,"Guardar preferencias","Rechazar todo","Close; cookies policy link",landing,landing,writeConsent,"actual: preferences and analytics toggles"
login_page,/login,Login Page,guest,n/a,Direct auth fallback,"Entrar / Crear cuenta","Continuar con Google","Forgot password; legal links",auth_callback,forgot_password,signInWithEmail / signUpWithEmail / signInWithGoogle,"actual: same AuthPanel as landing modal"
forgot_password,/forgot-password,Forgot Password,guest,n/a,Request password reset,"Enviar enlace","Volver a entrar","Turnstile if configured",login_page,login_page,requestPasswordReset,"actual: generic response avoids account enumeration"
reset_password,/reset-password,Reset Password,guest,n/a,Set new password from recovery session,"Actualizar contrasena","Pedir enlace nuevo","Mostrar/Ocultar password",home,forgot_password,updatePassword,"actual: redirects to home after success"
auth_callback,/auth/callback,Auth Callback,guest/signed-in,n/a,Resolve session and intent,"automatic redirect","None","loading/error states",home_or_onboarding,login,auth profile reads,"actual: sends requester to onboarding if profile incomplete"
legal_terms,/legal/terms,Legal Terms,any,n/a,Legal document,"Volver","Legal tabs","Volver a inicio; email link",previous_or_landing,previous,None,"actual: shared LegalLayout"
legal_privacy,/legal/privacy,Legal Privacy,any,n/a,Legal document,"Volver","Legal tabs","Volver a inicio; email link",previous_or_landing,previous,None,"actual: shared LegalLayout"
legal_cookies,/legal/cookies,Legal Cookies,any,n/a,Legal document,"Volver","Legal tabs","Volver a inicio; email link",previous_or_landing,previous,None,"actual: shared LegalLayout"
legal_guidelines,/legal/community-guidelines,Community Guidelines,any,n/a,Legal/help document,"Volver","Legal tabs","Volver a inicio; email link",previous_or_landing,previous,None,"actual: Home help entry goes here"
onboarding_basics,/onboarding,Onboarding Basics,requester/helper,n/a,Create base profile,"Continuar","Back icon","Location autocomplete manual mode",home_or_onboarding_skills,previous,saveOnboardingBasics,"actual: requester flow only uses this step"
onboarding_skills,/onboarding/skills,Onboarding Skills,helper,n/a,Select helper skills and experience,"Continuar","Volver","Skill toggles; experience selects",onboarding_location,onboarding_basics,replaceProfileSkills / updateCurrentProfile,"actual: helper-only continuation"
onboarding_location,/onboarding/location,Onboarding Location,helper,n/a,Set public helper zone,"Continuar","Volver","Usar mi ubicación; Usar esta ubicación",onboarding_availability,onboarding_skills,updateCurrentProfile,"actual: stores approximate location"
onboarding_availability,/onboarding/availability,Onboarding Availability,helper,n/a,Set availability schedule,"Continuar","Volver","Day toggles; time inputs",onboarding_verification,onboarding_location,replaceProfileAvailability / updateCurrentProfile,"actual: day buttons are state controls"
onboarding_verification,/onboarding/verification,Onboarding Verification,helper,n/a,Prepare trust signals,"Entrar a helpMe","Volver","Phone prepared toggle; identity toggle",home,onboarding_availability,saveProfileVerification,"actual: not real SMS/background verification yet"
create_task,/create,Create Task Page,requester,draft/open,Create or edit a task,"Guardar / Guardar cambios","Volver","Category chips; price chips; location picker",home,home,createTask / updateTask,"actual: separate route from modal publisher"
request_task_modal,modal:/home/request-task,Request Task Modal,requester,draft->open,Create or edit request from home,"Publicar solicitud / Guardar cambios","Cancelar","Close; use location; location search",home_requester,home_requester,createTask+publishTask or updateTask,"actual: creates and publishes in one submit when new"
task_location_picker,modal:/create/location,Task Location Picker,requester,n/a,Pick task point on map,"Guardar ubicacion","Cerrar","Use selected map point",create_task,create_task,None,"actual: nested picker inside create route"
helper_list_panel,/home,Helper List Panel,requester,n/a,List available helpers near requester,"Contactar","Ver perfil","Skill filters; use location; publish request",chat_detail_or_profile,home,createOrGetDirectConversation,"actual: helper cards also open preview via map/list selection"
helper_preview_modal,modal:/home/helper-preview,Helper Preview Modal,requester,n/a,Compact helper preview,"Publicar solicitud","Contactar","Ver perfil; close",request_task_modal_or_chat,home_requester,createOrGetDirectConversation,"actual: side path before request creation"
task_preview_modal,modal:/home/task-preview,Task Preview Modal,helper,open,Preview nearby open task,"Ver detalle","Contactar","Ver en mapa; favorite toggle; close",task_detail_helper,home_helper,createOrGetDirectConversation / favorite toggle,"actual: contact blocked for own/non-open tasks"
chats_modal,modal:/home/chats,Chats Modal,requester/helper,mixed,Overlay inbox from home,"Open conversation","Close","Conversation list",chat_detail,home,None,"actual: Home can open modal or direct chat"
task_chat_modal,modal:/task-chat,Task Chat Modal,requester/helper,open/in_progress/completed/closed,Embedded task conversation,"Enviar","Cerrar chat","Edit/delete message; load messages",task_chat_modal,task_detail,getOrCreateChatByTaskId / sendMessage / updateMessage / deleteMessage,"actual: used from task detail/home shortcuts"
logout_modal,modal:/home/logout,Logout Confirmation,requester/helper,n/a,Confirm session end,"Salir","Cancelar","Close by backdrop",landing,home,signOut,"actual: launched from HomeHeader menu"
helper_journey_modal,modal:/home/helper-journey,Helper Journey Modal,helper,n/a,Activate helper profile,"Continue per step / Activar perfil","Atrás / Cerrar","Welcome; profile; location; skills; availability; phone; Stripe; terms",home_helper,home,updateCurrentProfile / Stripe Connect / helper services,"actual: modal onboarding separate from /onboarding routes"
stripe_refresh,/stripe/refresh,Stripe Refresh,helper,n/a,Restart expired Connect link,"Reintentar","Volver al onboarding","automatic Stripe restart",stripe_external_or_onboarding,onboarding,startStripeConnectOnboarding,"actual: private route"
