modal_id,opened_from,modal_name,user_role,purpose,primary_cta,secondary_cta,close_actions,navigates_to,calls_service,side_effect,figma_notes
auth_modal,Landing,Auth Modal,guest,Login/register without leaving landing,"Entrar / Crear cuenta","Continuar con Google","X; backdrop; ESC",/auth/callback,signInWithEmail; signUpWithEmail; signInWithGoogle,auth session or email confirmation,"actual: has login/register tabs"
cookie_banner,Global,Cookie Banner,guest/any,Consent choice,"Aceptar todo","Solo necesarias","None",same page,writeConsent,stores consent,"actual: configure opens modal"
cookie_preferences,Cookie Banner,Cookie Preferences,guest/any,Granular consent,"Guardar preferencias","Rechazar todo","X; backdrop",same page,writeConsent,stores consent,"actual: necessary cookies always active"
home_notifications,HomeHeader,Notifications Dropdown,requester/helper,Unread messages and pending offers,"Decidir ahora / Abrir chat","Ver mensajes","Click outside via dropdown",/task/:id or /chat/:id,None,navigate only,"actual: assigned pending offer lives here"
home_menu,HomeHeader,Account/Menu Dropdown,requester/helper,Primary and account navigation,"Selected item","Cerrar sesión","Click outside",various routes,None,navigate only,"actual: includes mode switch and settings"
logout_confirm,HomeHeader,Logout Confirmation,requester/helper,Confirm sign out,"Salir","Cancelar","Backdrop",/,signOut,ends session,"actual: danger action"
my_requests_drawer,RequesterHome,My Requests Drawer,requester,Requester task inventory,"Decidir ahora","Ver detalle / Ver chat / Valorar","X; backdrop",/task/:id; /task/:id/review,None,navigate only,"actual: grouped by state"
request_task_modal,RequesterHome/HelperPreview,Request Task Modal,requester,Publish or edit request,"Publicar solicitud / Guardar cambios","Cancelar","X; backdrop",/home,createTask; publishTask; updateTask,creates/publishes task,"actual: modal publisher uses create+publish for new tasks"
helper_preview,NeedHelpMapLayout,Helper Preview Modal,requester,Preview selected helper,"Publicar solicitud","Contactar","X; backdrop",/create or /chat/:id,createOrGetDirectConversation,opens direct conversation,"actual: profile is tertiary"
task_preview,OfferHelp map/list,Task Preview Modal,helper,Preview task opportunity,"Ver detalle","Contactar","X; backdrop",/task/:id or /chat/:id,createOrGetDirectConversation; favorite toggle,opens direct conversation or favorite mutation,"actual: contact only if open and not own"
chats_modal,HomeHeader/Home,Chats Modal,requester/helper,Inbox overlay,"Open chat row","Close","X; backdrop",/chat/:id,None,navigate only,"actual: alternative to /chats route"
task_chat_modal,TaskDetail/TaskFeed,Task Chat Modal,requester/helper,Task-scoped chat overlay,"Enviar","Cerrar chat","X; backdrop",same page,getOrCreateChatByTaskId; getMessages; sendMessage; updateMessage; deleteMessage,chat message mutations,"actual: embedded chat, not /chat route"
helper_journey,HomeContainer,Helper Journey Modal,helper,Prepare and activate helper profile,"Continuar / Activar perfil","Atrás","X; backdrop; ESC",/home or Stripe external,updateCurrentProfile; helper services; startStripeConnectOnboarding,helper profile activation,"actual: resumes saved progress"
task_location_picker,CreateTask,Task Location Picker,requester,Choose task location on map,"Guardar ubicacion","Cerrar","Close button",same page,None,local form state,"actual: nested map picker"
