button_id,screen,label,visible_when,action_type,navigates_to,calls_service,backend_side_effect,risk_level,figma_notes
btn_home_profile_menu,HomeHeader,Mi perfil,always,navigate,/profile,None,None,low,"actual: account menu entry"
btn_home_messages_menu,HomeHeader,Mensajes,always,navigate,/chats,None,None,low,"actual: inbox entry"
btn_home_favorites_menu,HomeHeader,Favoritos,always,navigate,/profile?tab=favorites,None,None,low,"actual: shortcut, not critical flow"
btn_home_requests_menu,HomeHeader,Mis solicitudes,always,open_panel,overlay:/home,None,None,medium,"directs to requester drawer"
btn_home_pending_decide,HomeHeader,Decidir ahora,there is assigned notification,navigate,/task/:id,None,None,high,"critical pending-offer entry"
btn_home_open_chat,HomeHeader,Abrir chat,unread conversation exists,navigate,/chat/:id,None,None,medium,"chat shortcut; should not replace decision gate"
btn_home_settings,HomeHeader,Ajustes,account menu open,navigate,/settings,None,None,low,"actual settings entry"
btn_myrequests_decide,MyRequestsDrawer,Decidir ahora,task.status=assigned,navigate,/task/:id,None,None,high,"critical gate entry from drawer"
btn_myrequest_view_map,MyRequestCard,Ver en mapa,task.status=open,navigate,/home?focusTask=1,None,None,low,"utility navigation"
btn_myrequest_edit,MyRequestCard,Editar,task.status=open,direct edit,n/a,None,None,low,"actual label may vary by create flow"
btn_myrequest_retire,MyRequestCard,Retirar,task.status=open,mutation,None,cancelTask,high,"changes state"
btn_myrequest_view_chat,MyRequestCard,Ver chat,task.status=in_progress,navigate,/chat/:id,None,None,medium,"chat entry after payment promotion"
btn_myrequest_view_detail,MyRequestCard,Ver detalle,task.status in assigned/in_progress/cancelled,navigate,/task/:id,None,None,medium,"detail is a state-aware container"
btn_myrequest_review,MyRequestCard,Valorar,task.status in completed/closed and not reviewed,navigate,/task/:id/review,None,None,medium,"post-close action"
btn_taskdetail_accept,TaskDetail,Aceptar tarea,task.status=open and viewer is helper,mutation,n/a,acceptTask,high,"helper-side acceptance creates assigned"
btn_taskdetail_confirm_pay_gate,TaskDetail,Confirmar y pagar,task.status=assigned and viewer is requester,navigate,/task/:id/payment,None,None,high,"main decision CTA"
btn_taskdetail_reject_helper,TaskDetail,Rechazar helper,task.status=assigned and safe rejection exists,mutation,n/a,rejectAssignedHelper,high,"secondary decision CTA"
btn_taskdetail_view_profile,TaskDetail,Ver perfil,task.status=assigned,navigate,/profile/:helperId,None,None,medium,"tertiary action only"
btn_taskdetail_open_chat,TaskDetail,message icon,task.status in open/in_progress/completed/closed and canOpenChat,open_modal,n/a,None,medium,"chat modal shortcut"
btn_taskdetail_close_task,TaskDetail,Confirmar finalización,task.status in_progress/completed and requester owns task,navigate,/complete/:id,None,None,high,"money release path begins here"
btn_taskdetail_rate_helper,TaskDetail,Valorar helper,task.status in completed/closed and not reviewed,navigate,/task/:id/review,None,None,medium,"post-close action"
btn_payment_confirm,TaskPaymentPage,Confirmar y pagar,task.status=assigned and requester owns task,external_redirect,Stripe checkout URL,startTaskCheckout,high,"primary payment action"
btn_payment_premium,TaskPaymentPage,Coordinar pago con el helper,premium active,mutation,n/a,continueWithExternalPayment,medium,"secondary premium path"
btn_payment_view_premium,TaskPaymentPage,Ver Premium,premium inactive,navigate,/settings,None,None,low,"upsell only"
btn_payment_back_detail,TaskPaymentPage,Volver al detalle,always,navigate,/task/:id,None,None,low,"safe escape"
btn_stripe_return_back,StripeReturn,Volver al detalle,isPaymentFlow,pending navigate,/task/:id,None,None,medium,"must not imply confirmed settlement"
btn_complete_confirm,TaskComplete,Confirmar finalización,requester owns task and status in_progress/completed,mutation,/task/:id or chat after success,markTaskCompleted + releaseTaskPayment,high,"critical closure side effect"
btn_complete_back_detail,TaskComplete,Volver al detalle,always,navigate,/task/:id,None,None,low,"escape hatch"
btn_complete_back_chat,TaskComplete,Volver al chat,task is closeable or not,resolve chat then navigate,/chat/:id,getOrCreateChatByTaskId,medium,"chat can be reopened from close flow"
btn_review_submit,TaskReviewPage,Publicar valoración,rating >=1 and no existing review,mutation,/task/:id,createTaskReview,medium,"post-close publish"
btn_review_back,TaskReviewPage,Ahora no,always,navigate,/task/:id,None,None,low,"cancel review"
btn_chats_back,Chats,List/Chat pages,always,navigate,/home or /chats,None,None,low,"inbox back navigation"
btn_profile_edit,ProfilePage,Editar perfil,isOwnProfile,navigate,/settings#perfil,None,None,low,"own profile entry to settings"
btn_profile_contact,ProfilePage,Contactar,other profile,mutation,/chat/:id,createOrGetDirectConversation,medium,"contact helper shortcut"
btn_profile_invite,ProfilePage,Invitar a tarea,other profile,navigate,/create,None,None,medium,"starts create flow with helper prefill"
btn_profile_favorite,ProfilePage,Favorite toggle,other profile,mutation,n/a,toggleFavorite,low,"side action only"
btn_settings_back,SettingsPage,Volver,always (disabled while saving),navigate,/home,updateCurrentProfile if dirty,medium,"saves dirty state before leaving"
btn_settings_profile_avatar,ProfileSettings,Editar foto,profile card,upload/n/a,upload avatar,updateCurrentProfile,low,"profile identity editing"
btn_settings_profile_add_skill,ProfileSettings,Añadir,helper profile active and skill selected,mutation,n/a,replaceProfileSkills,medium,"helper profile management"
btn_settings_profile_remove_skill,ProfileSettings,skill pill x,helper profile active,mutation,n/a,replaceProfileSkills,medium,"removes skill"
btn_settings_profile_upload_cert,ProfileSettings,Subir certificado,helper profile active,upload,n/a,uploadProfileCertificate,medium,"private helper credential"
btn_settings_profile_delete_cert,ProfileSettings,Quitar,certificate exists,mutation,n/a,deleteProfileCertificate,medium,"credential removal"
btn_settings_map_toggle,MapSettings,Mostrar ubicación aproximada,always,switch,n/a,updateCurrentProfile,medium,"privacy-related visibility"
btn_settings_notifications_messages,NotificationSettings,Respuestas a mis solicitudes,always,checkbox,n/a,updateCurrentProfile,low,"notification preference"
btn_settings_notifications_nearby,NotificationSettings,Nuevas solicitudes cercanas,helper profile active,checkbox,n/a,updateCurrentProfile,low,"helper alert preference"
btn_settings_payments_connect,PaymentsSettings,Continuar en Stripe,paymentState=pending,external_redirect,Stripe onboarding,startStripeConnectOnboarding,high,"external handoff"
btn_settings_appearance_system,AppearanceSettings,Usar apariencia del sistema,always,toggle,n/a,setField(theme),low,"local UI preference"
btn_settings_appearance_light,AppearanceSettings,Claro,!useSystemTheme && theme editable,setField,n/a,None,low,"theme option"
btn_settings_appearance_dark,AppearanceSettings,Oscuro,!useSystemTheme && theme editable,setField,n/a,None,low,"theme option"
btn_settings_security_reset,SecuritySettings,Enviar enlace,user has email,service_call,n/a,requestPasswordReset,medium,"auth recovery"
btn_settings_security_signout,SecuritySettings,Cerrar sesión,always,service_call,n/a,signOut,high,"session ending"
btn_landing_brand,Landing,Brand logo,always,anchor,#inicio,None,None,low,"actual: returns to top anchor"
btn_landing_mobile_menu,Landing,Menu,mobile,local_state,n/a,None,toggles nav menu,low,"actual: expands anchor menu"
btn_landing_anchor_how,Landing,Cómo funciona,always,anchor,#como-funciona,None,None,low,"actual: section jump"
btn_landing_anchor_trust,Landing,Confianza,always,anchor,#confianza,None,None,low,"actual: section jump"
btn_landing_anchor_categories,Landing,Categorías,always,anchor,#categorias,None,None,low,"actual: section jump"
btn_landing_anchor_start,Landing,Empieza,always,anchor,#empieza,None,None,low,"actual: section jump"
btn_landing_theme,Landing,ThemeSwitch,always,local_state,n/a,setStoredThemePreference,stores theme preference,low,"actual: light/dark toggle"
btn_landing_enter,Landing,Entrar,always,open_modal,modal:/auth,getCurrentUser,opens login or redirects if authenticated,medium,"actual: opens AuthModal login"
btn_landing_need_help,Landing,Necesito ayuda,hero and final CTA,open_modal_or_redirect,modal:/auth or /auth/callback,getCurrentUser; setHelperHomeIntent,sets intent need,high,"actual: primary requester entry"
btn_landing_want_help,Landing,Quiero ayudar,hero and final CTA,open_modal_or_redirect,modal:/auth or /auth/callback,getCurrentUser; setHelperHomeIntent,sets intent help,high,"actual: helper entry opens register mode"
btn_landing_terms,Landing,Términos,footer,navigate,/legal/terms,None,None,low,"actual: legal footer"
btn_landing_privacy,Landing,Privacidad,footer,navigate,/legal/privacy,None,None,low,"actual: legal footer"
btn_landing_cookies,Landing,Cookies,footer,navigate,/legal/cookies,None,None,low,"actual: legal footer"
btn_auth_close,AuthModal,Cerrar,modal open,close_modal,n/a,None,None,low,"actual: also backdrop and ESC"
btn_auth_google,AuthPanel,Continuar con Google,no remembered account,external_auth,/auth/callback,signInWithGoogle,auth redirect/session,high,"actual: disabled while loading"
btn_auth_tab_login,AuthPanel,Entrar,no remembered account,local_state,n/a,None,switches mode,low,"actual: segmented tab"
btn_auth_tab_register,AuthPanel,Registrarse,no remembered account,local_state,n/a,None,switches mode,low,"actual: segmented tab"
btn_auth_use_other,AuthPanel,Usar otra cuenta,remembered email exists,local_state,n/a,clearRememberedEmail,clears remembered email,medium,"actual: resets compact login"
btn_auth_show_password,AuthPanel,Mostrar/Ocultar,password field visible,local_state,n/a,None,toggles input type,low,"actual: same button for login/register"
btn_auth_forgot,AuthPanel,Olvide mi contrasena,login mode,navigate,/forgot-password,None,None,medium,"actual: hidden from register mode"
btn_auth_submit,AuthPanel,Entrar / Crear cuenta,form valid,service_call,/auth/callback,signInWithEmail / signUpWithEmail,auth session or email confirmation,high,"actual: Turnstile may gate submit"
btn_auth_resend,AuthPanel,Reenviar email de confirmacion,status=sent and register,service_call,n/a,resendSignupConfirmation,sends email,medium,"actual: appears after signup without session"
btn_auth_legal_terms,AuthPanel,Terminos,no remembered account,navigate,/legal/terms,None,None,low,"actual: legal link"
btn_auth_legal_privacy,AuthPanel,Politica de privacidad,no remembered account,navigate,/legal/privacy,None,None,low,"actual: legal link"
btn_cookie_accept,CookieConsent,Aceptar todo,banner visible,service_call,same page,writeConsent,stores preferences+analytics true,medium,"actual: consent side effect"
btn_cookie_necessary,CookieConsent,Solo necesarias,banner visible,service_call,same page,writeConsent,stores preferences+analytics false,medium,"actual: reject is as direct as accept"
btn_cookie_config,CookieConsent,Configurar,banner visible,open_modal,modal:/cookies,None,opens preferences modal,low,"actual: granular config"
btn_cookie_config_close,CookieConsent,Cerrar configuracion de cookies,config modal open,close_modal,same page,None,None,low,"actual: backdrop closes too"
btn_cookie_pref_toggle,CookieConsent,Preferencias,config modal open,local_state,n/a,None,toggles draft preference,low,"actual: saved only on save"
btn_cookie_analytics_toggle,CookieConsent,Analiticas,config modal open,local_state,n/a,None,toggles draft analytics,low,"actual: saved only on save"
btn_cookie_reject_all,CookieConsent,Rechazar todo,config modal open,service_call,same page,writeConsent,stores false values,medium,"actual: modal reject"
btn_cookie_save,CookieConsent,Guardar preferencias,config modal open,service_call,same page,writeConsent,stores draft consent,medium,"actual: closes modal"
